album_id,title,artist_id
1,And Justice For All,50
2,Black Light Syndrome,136
3,20th Century Masters - The Millennium Collection: The Best of Scorpions,179
4,"A Copland Celebration, Vol. I",230
5,A Matter of Life and Death,90
6,A Real Dead One,90
7,A Real Live One,90
8,A Soprano Inspired,219
9,A TempestadeTempestade Ou O Livro Dos Dias,99
10,Acastico,146
11,Acastico MTV,113
12,Acastico MTV live,19
13,Ace Of Spades,106
14,Achtung Baby,150
15,"Adams, John: The Chairman Dances",242
16,Adorate Deum: Gregorian Chant from the Proper of the Mass,206
17,Afrociberdelia,18
18,Album Of The Year,82
19,Alcohol Fueled Brewtality Live! [Disc 1],11
20,Alcohol Fueled Brewtality Live! [Disc 2],11
21,All That You Can't Leave Behind,150
22,Allegri: Miserere,207
23,American Idiot,54
24,Angel Dust,82
25,Ao Vivo [import],155
26,Appetite for Destruction,88
27,Aquaman,159
28,Are You Experienced?,94
29,Armada: Music from the Courts of England and Spain,251
30,Arquivo II,113
31,Arquivo Os Paralamas Do Sucesso,113
32,As CanÃ§Ãµes de Eu Tu Eles,27
33,A-Sides,132
34,Audioslave,8
35,AxA Bahia 2001,21
36,Bach: Goldberg Variations,211
37,Bach: Orchestral Suites Nos. 1 to 4,257
38,Bach: The Brandenburg Concertos,234
39,Bach: The Cello Suites,212
40,Bach: Toccata & Fugue in D Minor,231
41,Bach: Violin Concertos,210
42,Back to Black,252
43,BackBeat Soundtrack,9
44,Balls to the Wall,2
45,Bark at the Moon (Remastered),114
46,Bartok: Violin & Viola Concertos,255
47,Barulhinho Bom,103
48,"Battlestar Galactica (Classic), Season 1",158
49,"Battlestar Galactica, Season 3",147
50,Battlestar Galactica: The Story So Far,147
51,BBC Sessions [Disc 1] [live],22
52,BBC Sessions [Disc 2] [live],22
53,Beethoven Piano Sonatas: Moonlight & Pastorale,238
54,Beethoven: Symhonies Nos. 5 & 6,218
55,Beethoven: Symphony No. 6 'Pastoral' Etc.,254
56,Berlioz: Symphonie Fantastique,245
57,Beyond Good And Evil,139
58,Big Ones,3
59,Bizet: Carmen Highlights,246
60,Black Album,50
61,Black Sabbath,12
62,Black Sabbath Vol. 4 (Remaster),12
63,Blizzard of Ozz,114
64,Blood Sugar Sex Magik,127
65,Blue Moods,89
66,Body Count,13
67,Bongo Fury,23
68,Brave New World,90
69,B-Sides 1980-1990,150
70,By The Way,127
71,CÃ¡ssia Eller - ColeÃ§Ã£o Sem Limite [Disc 2],77
72,CÃ¡ssia Eller - Sem Limite [Disc 1],77
73,Cafezinho,97
74,Cake: B-Sides and Rarities,196
75,Californication,127
76,Carmina Burana,229
77,Carnaval 2001,21
78,Carried to Dust (Bonus Track Version),253
79,Carry On,205
80,Cesta BÃ¡sica,125
81,"Charpentier: Divertissements, Airs & Concerts",258
82,Chemical Wedding,14
83,Chill: Brazil (Disc 1),24
84,Chill: Brazil (Disc 2),6
85,Chopin: Piano Concertos Nos. 1 & 2,235
86,"Chronicle, Vol. 1",76
87,"Chronicle, Vol. 2",76
88,Cidade Negra - Hits,19
89,Coda,22
90,Come Taste The Band,58
91,Compositores,111
92,Contraband,153
93,Core,134
94,Da Lama Ao Caos,18
95,Dance Of Death,90
96,Dark Side Of The Moon,120
97,Deep Purple In Rock,58
98,Deixa Entrar,83
99,Demorou...,108
100,Diary of a Madman (Remastered),114
101,Diver Down,152
102,Djavan Ao Vivo - Vol. 02,80
103,Djavan Ao Vivo - Vol. 1,80
104,Duos II,201
105,Elgar: Cello Concerto & Vaughan Williams: Fantasias,241
106,Elis Regina-Minha HistÃ³ria,41
107,Emergency On Planet Earth,92
108,English Renaissance,247
109,Every Kind of Light,200
110,Faceless,87
111,Facelift,5
112,"FaurÃ©: Requiem, Ravel: Pavane & Others",222
113,Fear Of The Dark,90
114,Fireball,58
115,For Those About To Rock We Salute You,1
116,Frank,252
117,From The Muddy Banks Of The Wishkah [live],110
118,GÃ³recki: Symphony No. 3,260
119,Garage Inc. (Disc 1),50
120,Garage Inc. (Disc 2),50
121,Get Born,93
122,Great Opera Choruses,220
123,Great Performances - Barber's Adagio and Other Romantic Favorites for Strings,228
124,Great Recordings of the Century - Mahler: Das Lied von der Erde,240
125,"Great Recordings of the Century - Shubert: Schwanengesang, 4 Lieder",270
126,Great Recordings of the Century: Paganini's 24 Caprices,268
127,Greatest Hits,100
128,Greatest Hits I,51
129,Greatest Hits II,51
130,Greatest Kiss,52
131,Green,124
132,Grieg: Peer Gynt Suites & Sibelius: PellÃ©as et MÃ©lisande,248
133,Handel: Music for the Royal Fireworks (Original Version 1749),208
134,Handel: The Messiah (Highlights),213
135,Haydn: Symphonies 99 - 104,217
136,Heart of the Night,53
137,"Heroes, Season 1",148
138,"Holst: The Planets, Op. 32 & Vaughan Williams: Fantasies",226
139,"Hot Rocks, 1964-1971 (Disc 1)",142
140,House of Pain,180
141,Houses Of The Holy,22
142,How To Dismantle An Atomic Bomb,150
143,In Step,133
144,In Through The Out Door,22
145,In Your Honor [Disc 1],84
146,In Your Honor [Disc 2],84
147,Instant Karma: The Amnesty International Campaign to Save Darfur,150
148,International Superhits,54
149,Into The Light,55
150,Iron Maiden,90
151,IV,22
152,"J.S. Bach: Chaconne, Suite in E Minor, Partita in E Major & Prelude, Fugue and Allegro",265
153,Jagged Little Pill,4
154,Jorge Ben Jor 25 Anos,46
155,Jota Quest-1995,96
156,Judas 0: B-Sides and Rarities,131
157,Kill 'Em All,50
158,Killers,90
159,King For A Day Fool For A Lifetime,82
160,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,58
161,Koyaanisqatsi (Soundtrack from the Motion Picture),275
162,Led Zeppelin I,22
163,Led Zeppelin II,22
164,Led Zeppelin III,22
165,Let There Be Rock,1
166,Liszt - 12 Ã‰tudes D'Execution Transcendante,269
167,Live [Disc 1],137
168,Live [Disc 2],137
169,Live After Death,90
170,Live At Donington 1992 (Disc 1),90
171,Live At Donington 1992 (Disc 2),90
172,Live On Two Legs [live],118
173,Living After Midnight,98
174,Load,50
175,"Locatelli: Concertos for Violin, Strings and Continuo, Vol. 3",271
176,"Lost, Season 1",149
177,"Lost, Season 2",149
178,"Lost, Season 3",149
179,"LOST, Season 4",149
180,Lulu Santos - RCA 100 Anos De MÃºsica - Ãlbum 01,101
181,Lulu Santos - RCA 100 Anos De MÃºsica - Ãlbum 02,101
182,Machine Head,58
183,Mais Do Mesmo,99
184,Maquinarama,130
185,Mascagni: Cavalleria Rusticana,236
186,Master Of Puppets,50
187,Mendelssohn: A Midsummer Night's Dream,256
188,Meus Momentos,56
189,Mezmerize,135
190,Miles Ahead,68
191,Milton Nascimento Ao Vivo,42
192,Minas,42
193,Minha HistÃ³ria,57
194,Minha Historia,17
195,Misplaced Childhood,102
196,MK III The Final Concerts [Disc 1],58
197,Monteverdi: L'Orfeo,273
198,Morning Dance,53
199,Motley Crue Greatest Hits,109
200,Mozart Gala: Famous Arias,249
201,Mozart: Chamber Music,274
202,Mozart: Symphonies Nos. 40 & 41,248
203,Mozart: Wind Concertos,216
204,Muso Ko,198
205,My Generation - The Very Best Of The Who,144
206,My Way: The Best Of Frank Sinatra [Disc 1],85
207,Na Pista,20
208,Nevermind,110
209,New Adventures In Hi-Fi,124
210,News Of The World,51
211,Nielsen: The Six Symphonies,267
212,No More Tears (Remastered),114
213,No Prayer For The Dying,90
214,No Security,142
215,O Samba PoconÃ©,130
216,Olodum,112
217,One By One,84
218,Original Soundtracks 1,116
219,Os CÃ£es Ladram Mas A Caravana NÃ£o PÃ¡ra,121
220,Out Of Exile,8
221,Out Of Time,122
222,Outbreak,79
223,Pachelbel: Canon & Gigue,208
224,Palestrina: Missa Papae Marcelli & Allegri: Miserere,244
225,Pavarotti's Opera Made Easy,227
226,Pearl Jam,118
227,Physical Graffiti [Disc 1],22
228,Physical Graffiti [Disc 2],22
229,Piece Of Mind,90
230,Plays Metallica By Four Cellos,7
231,Pop,150
232,Powerslave,90
233,Prenda Minha,16
234,Presence,22
235,Prokofiev: Romeo & Juliet,245
236,Prokofiev: Symphony No.1,232
237,Prokofiev: Symphony No.5 & Stravinksy: Le Sacre Du Printemps,248
238,Puccini: Madama Butterfly - Highlights,225
239,Purcell: Music for the Queen Mary,263
240,Purcell: The Fairy Queen,261
241,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [uk]",139
242,Purpendicular,58
243,Quanta Gente Veio Ver (Live),27
244,Quanta Gente Veio ver--BÃ´nus De Carnaval,27
245,Quiet Songs,197
246,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,36
247,Rattle And Hum,150
248,Raul Seixas,126
249,Realize,199
250,ReLoad,50
251,Respighi:Pines of Rome,226
252,Restless and Wild,2
253,Retrospective I (1974-1980),128
254,Revelations,8
255,Ride The Lightning,50
256,Riot Act,118
257,Rock In Rio [cd1],90
258,Rock In Rio [cd2],90
259,Roda De Funk,86
260,Rotten Apples: Greatest Hits,131
261,Sambas De Enredo 2001,21
262,Santana - As Years Go By,59
263,Santana Live,59
264,Scheherazade,233
265,Schubert: The Late String Quartets & String Quintet (3 CD's),272
266,SCRIABIN: Vers la flamme,250
267,Seek And Shall Find: More Of The Best (1963-1981),104
268,Serie Sem Limite (Disc 1),145
269,Serie Sem Limite (Disc 2),145
270,Seventh Son of a Seventh Son,90
271,Sex Machine,91
272,Sibelius: Finlandia,237
273,Sir Neville Marriner: A Celebration,215
274,Slaves And Masters,58
275,Somewhere in Time,90
276,South American Getaway,259
277,Sozinho Remix Ao Vivo,16
278,Speak of the Devil,114
279,St. Anger,50
280,Stormbringer,58
281,Strauss: Waltzes,226
282,Supernatural,59
283,Surfing with the Alien (Remastered),95
284,Synkronized,92
285,"Szymanowski: Piano Works, Vol. 1",266
286,Tangents,143
287,"Tchaikovsky: 1812 Festival Overture, Op.49, Capriccio Italien & Beethoven: Wellington's Victory",243
288,Tchaikovsky: The Nutcracker,223
289,Temple of the Dog,204
290,Ten,118
291,The Battle Rages On,58
292,The Beast Live,117
293,The Best Of 1980-1990,150
294,The Best of Beethoven,203
295,The Best Of Billy Cobham,10
296,The Best Of Buddy Guy - The Millenium Collection,15
297,The Best of Ed Motta,37
298,The Best Of Men At Work,105
299,The Best Of R.E.M.: The IRS Years,124
300,"The Best Of Van Halen, Vol. I",152
301,The Colour And The Shape,84
302,The Cream Of Clapton,81
303,The Doors,140
304,The Essential Miles Davis [Disc 1],68
305,The Essential Miles Davis [Disc 2],68
306,The Final Concerts (Disc 2),58
307,The Last Night of the Proms,224
308,The Number of The Beast,90
309,"The Office, Season 1",156
310,"The Office, Season 2",156
311,"The Office, Season 3",156
312,The Police Greatest Hits,141
313,The Real Thing,82
314,The Return Of The Space Cowboy,92
315,The Singles,138
316,The Song Remains The Same (Disc 1),22
317,The Song Remains The Same (Disc 2),22
318,The Ultimate Relexation Album,262
319,The World of Classical Favourites,214
320,The X Factor,90
321,Transmission,143
322,Tribute,114
323,UB40 The Best Of - Volume Two [uk],151
324,Un-Led-Ed,157
325,Unplugged,81
326,Unplugged [live],52
327,Up An' Atom,69
328,Use Your Illusion I,88
329,Use Your Illusion II,88
330,Van Halen,152
331,Van Halen III,152
332,Vault: Def Leppard's Greatest Hits,78
333,VinÃ­cius De Moraes - Sem Limite,70
334,Vinicius De Moraes,72
335,Virtual XI,90
336,Vivaldi: The Four Seasons,209
337,Volume Dois,146
338,Voodoo Lounge,142
339,Vozes do MPB,21
340,Vs.,118
341,Wagner: Favourite Overtures,221
342,Walking Into Clarksdale,115
343,War,150
344,Warner 25 Anos,6
345,Weill: The Seven Deadly Sins,264
346,Worlds,202
347,Zooropa,150
348,For Those About To Rock We Salute You,1
349,Balls to the Wall,2
350,Restless and Wild,2
351,Let There Be Rock,1
352,Big Ones,3
353,Jagged Little Pill,4
354,Facelift,5
355,Warner 25 Anos,6
356,Plays Metallica By Four Cellos,7
357,Audioslave,8
358,Out Of Exile,8
359,BackBeat Soundtrack,9
360,The Best Of Billy Cobham,10
361,Alcohol Fueled Brewtality Live! Disc 1,11
362,Alcohol Fueled Brewtality Live! Disc 2,11
363,Black Sabbath,12
364,Black Sabbath Vol 4 (Remaster),12
365,Body Count,13
366,Chemical Wedding,14
367,The Best Of Buddy Guy The Millenium Collection,15
368,Prenda Minha,16
369,Sozinho Remix Ao Vivo,16
370,Minha Historica,17
371,Afrociberdelia,18
372,Da Lama Ao Caos,18
373,Acastico MTV live,19
374,Cidade Negra Hits,19
375,Na Pista,20
376,AxA Bahia 2001,21
377,BBC Sessions Disc 1 live,22
378,Bongo Fury,23
379,Carnaval 2001,21
380,Chill Brazil (Disc 1),24
381,Chill Brazil (Disc 2),6
382,Garage Inc (Disc 1),50
383,Greatest Hits 2,51
384,Greatest Kiss,52
385,Heart of the Night,53
386,International Superhits,54
387,Into The Light,55
388,Meus Momentos,56
389,Minha Historica,57
390,MK III The Final Concerts Disc 1,58
391,Physical Graffiti Disc 1,22
392,Sambas De Enredo 2001,21
393,Supernatural,59
394,The Best of Ed Motta,37
395,The Essential Miles Davis Disc 1,68
396,The Essential Miles Davis Disc 2,68
397,The Final Concerts (Disc 2),58
398,Up An Atom,69
399,Vinícius De Moraes Sem Limite,70
400,Vozes do MPB,21
401,Chronicle Vol 1,76
402,Chronicle Vol 2,76
403,Eller Coleo Sem Limite Disc 2,77
404,Eller Coleo Sem Limite Disc 1,77
405,Come Taste The Band,58
406,Deep Purple In Rock,58
407,Fireball,58
408,Knocking at Your Back Door,58
409,Machine Head,58
410,Purpendicular,58
411,Slaves And Masters,58
412,Stormbringer,58
413,The Battle Rages On,58
414,Vault Def Leppards Greatest Hits,78
415,Outbreak,79
416,Djavan Ao Vivo Vol 02,80
417,Djavan Ao Vivo Vol 1,80
418,Elis ReginaMinha,41
419,The Cream Of Clapton,81
420,Unplugged,81
421,Album Of The Year,82
422,Angel Dust,82
423,King For A Day Fool For A Lifetime,82
424,The Real Thing,82
425,Deixa Entrar,83
426,In Your Honor Disc 1,84
427,In Your Honor Disc 2,84
428,One By One,84
429,The Colour And The Shape,84
430,My Way The Best Of Frank Sinatra Disc 1,85
431,Roda De Funk,86
432,As CanEles,27
433,Quanta Gente Veio Ver (Live),27
434,Quanta Gente Veio verBônus De Carnaval,27
435,Faceless,87
436,American Idiot,54
437,Appetite for Destruction,88
438,Use Your Illusion I,88
439,Use Your Illusion II,88
440,Blue Moods,89
441,A Matter of Life and Death,90
442,A Real Dead One,90
443,A Real Live One,90
444,Brave New World,90
445,Dance Of Death,90
446,Fear Of The Dark,90
447,Iron Maiden,90
448,Killers,90
449,Live After Death,90
450,Live At Donington 1992 (Disc 1),90
451,Live At Donington 1992 (Disc 2),90
452,No Prayer For The Dying,90
453,Piece Of Mind,90
454,Powerslave,90
455,Rock In Rio cd1,90
456,Rock In Rio cd2,90
457,Seventh Son of a Seventh Son,90
458,Somewhere in Time,90
459,The Number of The Beast,90
460,The X Factor,90
461,Virtual 11,90
462,Sex Machine,91
463,Emergency On Planet Earth,92
464,Synkronized,92
465,The Return Of The Space Cowboy,92
466,Get Born,93
467,Are You Experienced,94
468,Surfing with the Alien (Remastered),95
469,Jorge Ben Jor 25 Anos,46
470,Jota Quest1995,96
471,Cafezinho,97
472,Living After Midnight,98
473,Unplugged live,52
474,BBC Sessions Disc 2 live,22
475,Coda,22
476,Houses Of The Holy,22
477,In Through The Out Door,22
478,fourth,22
479,Led Zeppelin I,22
480,Led Zeppelin II,22
481,Led Zeppelin III,22
482,Physical Graffiti Disc 2,22
483,Presence,22
484,The Song Remains The Same (Disc 1),22
485,The Song Remains The Same (Disc 2),22
486,A TempestadeTempestade Ou O Livro Dos Dias,99
487,Mais Do Mesmo,99
488,Greatest Hits,100
489,Lulu Santos RCA 100 Anos De Album 01,101
490,Lulu Santos RCA 100 Anos De Album 02,101
491,Misplaced Childhood,102
492,Barulhinho Bom,103
493,Seek And Shall Find More Of The Best (19631981),104
494,The Best Of Men At Work,105
495,Black Album,50
496,Garage Inc (Disc 2),50
497,Kill Em All,50
498,Load,50
499,Master Of Puppets,50
500,ReLoad,50
501,Ride The Lightning,50
502,St Anger,50
503,And Justice For All,50
504,Miles Ahead,68
505,Milton Nascimento Ao Vivo,42
506,Minas,42
507,Ace Of Spades,106
508,Demorou,108
509,Motley Crue Greatest Hits,109
510,From The Muddy Banks Of The Wishkah live,110
511,Nevermind,110
512,Compositores,111
513,Olodum,112
514,Acastico MTV,113
515,Arquivo II,113
516,Arquivo Os Paralamas Do Sucesso,113
517,Bark at the Moon (Remastered),114
518,Blizzard of Ozz,114
519,Diary of a Madman (Remastered),114
520,No More Tears (Remastered),114
521,Tribute,114
522,Walking Into Clarksdale,115
523,Original Soundtracks 1,116
524,The Beast Live,117
525,Live On Two Legs live,118
526,Pearl Jam,118
527,Riot Act,118
528,Ten,118
529,Vs,118
530,Dark Side Of The Moon,120
531,Os Ladram Mas A Caravana,121
532,Greatest Hits 1,51
533,News Of The World,51
534,Out Of Time,122
535,Green,124
536,New Adventures In HiFi,124
537,The Best Of REM The IRS Years,124
538,Cesta Basic,125
539,Raul Seixas,126
540,Blood Sugar Sex Magik,127
541,By The Way,127
542,Californication,127
543,Retrospective 1 (19741980),128
544,Santana As Years Go By,59
545,Santana Live,59
546,Maquinarama,130
547,O Samba Pocona,130
548,Judas 0 BSides and Rarities,131
549,Rotten Apples Greatest Hits,131
550,Aides,132
551,Morning Dance,53
552,In Step,133
553,Core,134
554,Mezmerize,135
555,Black Light Syndrome,136
556,Live Disc 1,137
557,Live Disc 2,137
558,The Singles,138
559,Beyond Good And Evil,139
560,Pure Cult The Best Of The Cult,139
561,The Doors,140
562,The Police Greatest Hits,141
563,Hot Rocks 19641971 (Disc 1),142
564,No Security,142
565,Voodoo Lounge,142
566,Tangents,143
567,Transmission,143
568,My Generation The Very Best Of The Who,144
569,Serie Sem Limite (Disc 1),145
570,Serie Sem Limite (Disc 2),145
571,Acastico,146
572,Volume Dois,146
573,Battlestar Galactica The Story So Far,147
574,Battlestar Galactica Season 3,147
575,Heroes Season 1,148
576,Lost Season 3,149
577,Lost Season 1,149
578,Lost Season 2,149
579,Achtung Baby,150
580,All That You Cant Leave Behind,150
581,BSides 19801990,150
582,How To Dismantle An Atomic Bomb,150
583,Pop,150
584,Rattle And Hum,150
585,The Best Of 19801990,150
586,War,150
587,Zooropa,150
588,UB40 The Best Of Volume Two uk,151
589,Diver Down,152
590,The Best Of Van Halen Vol I,152
591,Van Halen,152
592,Van Halen III,152
593,Contraband,153
594,Vinicius De Moraes,72
595,Ao Vivo import,155
596,The Office Season 1,156
597,The Office Season 2,156
598,The Office Season 3,156
599,UnLedEd,157
600,Battlestar Galactica (Classic) Season 1,158
601,Aquaman,159
602,Instant Karma The Amnesty Campaign,150
603,Speak of the Devil,114
604,20th Century Masters The Millennium Collection,179
605,House of Pain,180
606,Radio Brasil Seleccao de Henrique Amaro,36
607,Cake BSides and Rarities,196
608,LOST Season 4,149
609,Quiet Songs,197
610,Muso Ko,198
611,Realize,199
612,Every Kind of Light,200
613,Duos II,201
614,Worlds,202
615,The Best of Beethoven,203
616,Temple of the Dog,204
617,Carry On,205
618,Revelations,8
619,Adorate Deum Gregorian Chant Hari,206
620,Allegri Miserere,207
621,Pachelbel Canon & Gigue,208
622,Vivaldi The Four Seasons,209
623,Bach Violin Concertos,210
624,Bach Goldberg Variations,211
625,Bach The Cello Suites,212
626,Handel The Messiah (Highlights),213
627,The World of Classical Favourites,214
628,Sir Neville Marriner A Celebration,215
629,Mozart Wind Concertos,216
630,Haydn Symphonies 99 104,217
631,Beethoven Symhonies Nos 5 & 6,218
632,A Soprano Inspired,219
633,Great Opera Choruses,220
634,Wagner Favourite Overtures,221
635,requiem Ravel Pavane & Others,222
636,Tchaikovsky The Nutcracker,223
637,The Last Night of the Proms,224
638,Puccini Madama Butterfly Highlights,225
639,Holst The Planets Op 32 & Vaughan Williams,226
640,Pavarottis Opera Made Easy,227
641,Great Performances Barbers Adagio,228
642,Carmina Burana,229
643,A Copland Celebration Vol I,230
644,Bach Toccata & Fugue in D Minor,231
645,Prokofiev Symphony No1,232
646,Scheherazade,233
647,Bach The Brandenburg Concertos,234
648,Chopin Piano Concertos Nos 1 & 2,235
649,Mascagni Cavalleria Rusticana,236
650,Sibelius Finlandia,237
651,Beethoven Piano Sonatas Moonlight & Pastorale,238
652,Great Recordings of the Century,240
653,Elgar Cello Concerto & Vaughan Williams Fantasias,241
654,Adams John The Chairman Dances,242
655,Tchaikovsky 1812 Festival Overture Victory,243
656,Palestrina Missa Papae Marcelli & Allegri Miserere,244
657,Prokofiev Romeo & Juliet,245
658,Strauss Waltzes,226
659,Berlioz Symphonie Fantastique,245
660,Bizet Carmen Highlights,246
661,English Renaissance,247
662,Handel Music for the Royal Fireworks,208
663,Grieg Peer Gynt Suites & Sibelius,248
664,Mozart Gala Famous Arias,249
665,SCRIABIN Vers la flamme,250
666,Armada Music from the Courts of England and Spain,251
667,Mozart Symphonies Nos 40 & 41,248
668,Back to Black,252
669,Frank,252
670,Carried to Dust (Bonus Track Version),253
671,Beethoven Symphony No 6 Pastoral Etc,254
672,Bartok Violin & Viola Concertos,255
673,Mendelssohn A Midsummer Nights Dream,256
674,Bach Orchestral Suites Nos 1 to 4,257
675,Charpentier Divertissements Airs & Concerts,258
676,South American Getaway,259
677,GArecki Symphony No 3,260
678,Purcell The Fairy Queen,261
679,The Ultimate Relexation Album,262
680,Purcell Music for the Queen Mary,263
681,Weill The Seven Deadly Sins,264
682,JS Bach Chaconne Suite in E Minor Partita in E Major,265
683,Prokofiev Symphony No5 & Stravinksy,248
684,Szymanowski Piano Works Vol 1,266
685,Nielsen The Six Symphonies,267
686,Great Recordings of the Century Paganinis,268
687,Liszt 12Atitudes DExecution Transcendante,269
688,Great Recordings of the Century,270
689,Locatelli Concertos for Violin Strings Vol 3,271
690,RespighiPines of Rome,226
691,Schubert The Late String Quartets & String Quintet,272
692,Monteverdi LOrfeo,273
693,Mozart Chamber Music,274
694,Koyaanisqatsi,275